Tanggal,Nama Barang,Jumlah
2024-07-27 0:00:00,"Sarung Tangan, Headlamp, SB, Matras, TP",5
2024-07-27 0:00:00,"SB, Tas 55L, Tenda, Matras, Headlamp, Lampu Tenda, Sepatu, Nesting, Trash Bag, Gas Rent",10
2024-07-27 0:00:00,Kompor Portable,1
2024-07-27 0:00:00,Tas 55L,1
2024-07-27 0:00:00,Tempat Telur,1
2024-07-27 0:00:00,"Tenda, SB, Meja B, Kursi B, Gas Rent",5
2024-07-26 0:00:00,TP,1
2024-07-26 0:00:00,"Sepatu, Headlamp, TP",3
2024-07-24 0:00:00,"Tenda, Gas Rent, Lampu Tenda",3
2024-07-22 0:00:00,Sepatu,1
2024-07-20 0:00:00,Nesting,1
2024-07-20 0:00:00,Tenda K4,1
2024-07-20 0:00:00,"SB, Kompor, Matras, Gas Rent",4
2024-07-20 0:00:00,Tenda K4,1
2024-07-20 0:00:00,"Hydropack, TP, Jacket",3
2024-07-20 0:00:00,"Tenda K4, Kursi B, Matras, Meja B, Kompor B, Kompor K, lampu Tenda, Nesting, Tempat Telur, Gas Rent",10
2024-07-19 0:00:00,"Fly Sheet, Pasak, Matras",3
2024-07-19 0:00:00,"Headlamp, TP",2
2024-07-18 0:00:00,"Kompor, Gas Rent, Matras",3
2025-07-15 0:00:00,"Tenda, Matras, SB, Nesting, Kompor, Lampu Tenda, Gas Rent",7
2025-07-15 0:00:00,"Tenda K4, Kursi K",2
2025-07-14 0:00:00,"Tenda K4, Kursi Outdoor K",2
2025-07-14 0:00:00,"Sepatu, TP",2
2025-07-13 0:00:00,"Tenda, SB, Nesting",3
2025-07-13 0:00:00,"Tenda, Matras, Kompor, SB, Nesting, Sepatu, TP",7
2025-07-13 0:00:00,"Tenda K6, Tenda K4, Matras",3
2025-07-13 0:00:00,"Tenda, Matras, Kompor, Nesting",4
2025-07-13 0:00:00,"Headlamp, TP",2
2025-07-13 0:00:00,Tenda K4,1
2025-07-12 0:00:00,"Sepatu, Headmp, Tas Lipat",3
2025-07-11 0:00:00,"Sepatu, TP, Headlamp, Senter",4
2025-07-10 0:00:00,"Tenda, Matras, SB, Kompor, Nesting, Headlamp, Lampu Tenda, Gas Refill",8
2025-07-10 0:00:00,Tenda K4,1
2025-07-09 0:00:00,"Kompor, Jas Hujan, Manset Lengan",3
2025-07-09 0:00:00,"Tenda, Matras, Matras Foil, Lampu Tenda, Senter, Tempat Telur, Gas Rent, Fly Sheet, Tas, SB",11
2025-07-09 0:00:00,Penahan Angin,1
2025-07-08 0:00:00,"Kursi K, Lampu Tenda, Kompor, Gas Rent, TP, Sepatu",6
2025-07-07 0:00:00,"Kompor, Gas Rent ",2
2025-07-06 0:00:00,"Tenda K6, Tas 55L + CB, Lampu Tenda, Pasak Pramuka",4
2025-07-06 0:00:00,"SB, TP, Matras",3
2025-07-05 0:00:00,"Tenda, SB, Matras, Kompor K, tas, Gas rent, Nesting, Sepatu, TP",9
2025-07-05 0:00:00,TP,1
2025-07-05 0:00:00,TP,1
2025-07-05 0:00:00,"Tenda, Matras",2
2025-07-03 0:00:00,"Tenda, SB, Matras, Fly Sheet, TP, Lampu Tenda, Gas Refill",7
2025-07-03 0:00:00,"Tenda, SB, Matras, Kompor, Fly Sheet, Lampu Tenda, Gas Rent",7
2025-07-02 0:00:00,"Tenda, lampu Tenda, Kursi K",3
2025-07-02 0:00:00,"Paket Grill, Gas Refill",2
2025-07-02 0:00:00,"Kakhoiper, TP",2
2024-07-01 0:00:00,"TP, Headlamp",2
2024-08-31 0:00:00,"Headlamp, TP, Emergency Blanket",3
2024-08-31 0:00:00,"Matras, Headlamp, Kompor, Gas Rent, Nesting, Hydropack",6
2024-08-30 0:00:00,"Tas, Matras",3
2024-08-30 0:00:00,"Tenda, Matras, Headlamp, Tas, Sepatu, Tempat Telur",5
2024-08-30 0:00:00,"Tenda, Matras, Tas + CB, Set Gelas, Kompor, Gas Rent, Lampu Tenda, Nesting",9
2025-08-27 0:00:00,"Tenda, Kompor, Gas Rent",5
2025-08-24 0:00:00,Tenda Pramuka,2
2025-08-24 0:00:00,"Senter, Sarung Tangan, Tas + CB, Gas Rent, Sepatu",6
2025-08-24 0:00:00,"Nesting, Kompor, Tenda, TP, Headlamp, Lampu Tenda, SB, Matras Spoon, Matras Foil, Gelas Set",11
2025-08-23 0:00:00,"SB, Manset, Trash Bag",4
2025-08-23 0:00:00,Tenda K4,1
2025-08-23 0:00:00,"Pasak, Gas Rent",2
2025-08-23 0:00:00,"Sepatu, Tas + CB, SB, Headlamp, Matras, CB, TP, Tenda K6, Nesting, Lampu Tenda",11
2025-08-23 0:00:00,"Tenda, Gas Rent",2
2025-08-22 0:00:00,"Sepatu, Headlamp, Sarung, TP",5
2025-08-21 0:00:00,"Tas, SB, Matras, Headlamp, TP, Sepatu, Nesting",6
2025-08-21 0:00:00,"Tas + CB, Senter, Headlamp, Lampu Tenda, TP",7
2025-08-21 0:00:00,TP,7
2025-08-17 0:00:00,"TP, Hydropack, Sepatu",6
2025-08-17 0:00:00,"Tenda, Lampu Tenda, Kompor, Gas Rent, Nesting, Matras",7
2025-08-16 0:00:00,"Tenda, TP",7
2025-08-15 0:00:00,"Tas, Matras, Nesting, Kompor, Sb, Lampu Tenda, Sarung Tangan",8
2025-08-15 0:00:00,"Tenda, Headlamp, Nesting, Matras, SB",9
2025-08-13 0:00:00,"TP, Headlamp, Emergency Blanket",3
2025-08-13 0:00:00,"TP, Hydropack ",4
2025-08-12 0:00:00,Tenda K4,5
2025-08-10 0:00:00,"Headlamp, Tp ",6
2025-08-09 0:00:00,"Tenda, Nesting, Fly Sheet,  Pasak, Tali",5
2025-08-07 0:00:00,"TP, Headlamp, Sepatu, Emergency Blanket, Hydropack",4
2025-08-06 0:00:00,"Tenda, Nesting, TP, Kompor, CB",4
2025-08-06 0:00:00,"Tenda, Tas + CB, Sepatu, SB, Matras, Kompor, Gas Rent, Nesting, TP, Lampu Tenda",12
2025-08-03 0:00:00,"Tenda, Paket Grill, Trash Bag, Pasak, Gas Rent",7
2025-08-02 0:00:00,"SB, Tas + CB, TP, Fly Sheet, Sarung Tangan, Tenda, Sepatu, Gas Rent, Kompor",14
2024-09-29 0:00:00,Tripod HP,1
2024-09-29 0:00:00,"Tas 45L + CB, SB, Matras Foil, Fly Sheet, Tempat Telur, TP",6
2024-09-29 0:00:00,"Tas 55L + CB, CB",6
2025-09-28 0:00:00,"SB, headlamp, TP, Headlamp",5
2025-09-28 0:00:00,"Kursi Outdoor B, Gas Rent, Kompor",3
2025-09-27 0:00:00,Kompor,4
2000-09-26 0:00:00,"Tenda, Matras, Gas Rent",5
2025-09-21 0:00:00,"Sepatu 39, Sepatu 43, TP",4
2025-09-20 0:00:00,"Tenda, Lampu Tenda",3
2025-09-19 0:00:00,"Tas + CB, TP, Matras, SB",4
2025-09-19 0:00:00,"TP, kafhooper",2
2025-09-18 0:00:00,"Tenda, Headlamp, Manset",4
2025-09-15 0:00:00,"Kompor B, Tenda K4",4
2025-09-14 0:00:00,Tenda K4,2
2024-09-14 0:00:00,"Tas, Headlamp, Tenda, Matras, Sepatu, SB, lampu Tenda",4
2023-09-14 0:00:00,"SB, Tas, Matras, Sepatu, TP",6
2022-09-14 0:00:00,"TP, Headlamp",4
2021-09-14 0:00:00,"TP, Hydropack, Emergency Blanket",5
2020-09-14 0:00:00,"Tenda, Gas Refill",2
2019-09-14 0:00:00,"Kompor, Gas Rent",2
2018-09-14 0:00:00,"Tenda, Lampu Tenda, Kompor, Nesting, Gas Rent",6
2017-09-14 0:00:00,"Tenda K4, Lampu Tenda, Gas Rent, Fly Sheet, Kursi K",14
2016-09-14 0:00:00,"Tenda K6, Tenda K4",3
2025-09-13 0:00:00,"TP, Emergency Blanket",3
2025-09-13 0:00:00,Headlamp,2
2025-09-13 0:00:00,"TP, Leaf Hopper",2
2025-09-12 0:00:00,"Tas + CB, Sepatu",2
2025-09-11 0:00:00,"Tenda K4, Headlamp, Matras",4
2025-09-07 0:00:00,"Tenda K6, Tenda K4",4
2025-09-07 0:00:00,"TP, Hydropack ",4
2025-09-07 0:00:00,Powerbank,1
2025-09-06 0:00:00,"Tas, Tenda, Gas Rent, Kompor, Penadah Angin, Fly Sheet, Tali",9
2025-09-06 0:00:00,"Tas, Tenda, Matras, Nesting, Lampu Tenda, SB",8
2025-09-06 0:00:00,"Tas, SB, Matras Foil, Sepatu",5
2025-09-06 0:00:00,SB,5
2025-09-06 0:00:00,TP,3
2025-09-06 0:00:00,"SB, Headlamp, TP ",5
2025-09-06 0:00:00,TP,4
2025-09-06 0:00:00,"TP, Tas Kecil Lipat, Headlamp",5
2025-09-04 0:00:00,"Tenda K4, Tas, Matras, SB, Nesting, Kompor, Gas Rent",7
2025-09-03 0:00:00,"TP, Sepatu, Senter",7
2025-09-02 0:00:00,TP,4
2024-09-01 0:00:00,"Tenda K4, Lampu Tenda, Fly Sheet",7
2024-11-30 0:00:00,"Tenda K4, Kompor, Nesting, Fly Sheet",6
2024-11-30 0:00:00,"TP, Hydropack",6
2025-11-29 0:00:00,Gas Rent,5
2025-11-27 0:00:00,"Tenda K4, Kompor B",4
2025-11-27 0:00:00,"Tenda K4, Kompor B",4
2024-11-26 0:00:00,"Tas + CB, TP",4
2024-11-08 0:00:00,"TP, Headlamp, Sarung Tangan",4
2024-11-04 0:00:00,"Tenda K4, SB, Matras, Headlamp, Lampu Tenda",4
2024-12-31 0:00:00,"Tenda K4, Matras",4
2024-12-31 0:00:00,"Tenda K4, Matras, SB",3
2024-12-31 0:00:00,"Kompor K, Gas Rent",6
2024-12-31 0:00:00,"Tenda K4, Nesting, Kompor, Gas Rent",6
2024-12-31 0:00:00,Gas Rent,8
2024-12-31 0:00:00,Kompor Besar,1
2024-12-31 0:00:00,"Kompor K, Nesting, Tenda K4, Matras",3
2024-12-31 0:00:00,"Dril? Grill?, Kompor",2
2024-12-31 0:00:00,TP,5
2024-12-31 0:00:00,"Kompor B, Gas Rent",2
2024-12-31 0:00:00,"Kompor B, Gas Rent, Grill",3
2024-12-29 0:00:00,Gas Rent,1
2024-12-29 0:00:00,Powerbank,1
2024-12-29 0:00:00,"Tenda K6, Tenda K4, Matras Foil, Fly Sheet, Gas Rent, Tas 55L + CB, Lampu Tenda, Penahan Angin, Tempat Telur",14
2024-12-29 0:00:00,"SB, Tali Fly Sheet",4
2024-12-28 0:00:00,"Matras, SB, TP",4
2025-12-27 0:00:00,"Head Lamp, TP, Hydropack",3
2025-12-27 0:00:00,"Matras Foil B, Lampu Tenda, Gas Rent",6
2025-12-27 0:00:00,"Headlamp, SB",4
2025-12-26 0:00:00,SB,7
2025-12-25 0:00:00,"Kompor K, Gas Rent",3
2025-12-24 0:00:00,"Tenda K4, Matras Foil, Fly Sheet, Lampu Tenda, Kompor, Nesting, Gas Rent",13
2025-12-24 0:00:00,"TP, Hydropack",3
2025-12-24 0:00:00,"Sepatu, Tas, TP, Sarung Tangan, Matras",7
2025-12-24 0:00:00,"Tas, Kompor, Nesting, Matras, Sepatu, SB, TP",9
2024-12-23 0:00:00,TP,3
2025-12-22 0:00:00,"Tenda K4, Kursi Lipat K",2
2025-12-22 0:00:00,Gas Refill,3
2025-12-17 0:00:00,"Kompor, Lampu Tenda, CB",5
2025-12-16 0:00:00,Kompor Besar,3
2025-12-14 0:00:00,"Tenda K4, Tenda K6, Matras Foil",3
2025-12-14 0:00:00,TP,2
2025-12-14 0:00:00,"Tenda K4, Tenda K6, Headlamp, Matras",7
2025-12-13 0:00:00,"Tenda K4, Matras, Fly Sheet, Nesting, Lampu Tenda, Tempat Telur",7
2025-12-13 0:00:00,"Nesting, Matras",4
2025-12-12 0:00:00,Tenda Pramuka,3
2025-12-12 0:00:00,Nesting,3
2025-12-12 0:00:00,"Mantol, Gas Rent, Headlamp, Matras",2
2025-12-11 0:00:00,Tenda K4,2
2025-12-10 0:00:00,Tenda Pramuka,1
2025-12-07 0:00:00,"Tenda K4, Tas 45L + CB, SB, Headlamp, Fly Sheet, TP",10
2025-12-05 0:00:00,"Nesting, Fly Sheet, Emergency Blanket",5
